产品代码,产品名称,风险等级,产品状态,销售状态
WFXYJXRK4A,中银理财-稳富信用精选日开4号,中低风险,存续期内,在售
WFXYJXRK5A,中银理财-稳富信用精选日开5号,中低风险,存续期内,在售
WFXYJXRK06A,中银理财-稳富信用精选日开6号,中低风险,存续期内,在售
WFXYJXDZRK2A,中银理财-稳富信用精选短债日开2号,中低风险,存续期内,在售
WFXYJXDZRKA,中银理财-稳富信用精选短债日开理财产品,中低风险,存续期内,在售
WFXYJXWJRKA,中银理财-稳富信用精选稳健日开理财产品,中低风险,存续期内,在售
WFXYJXCZRKA,中银理财-稳富信用精选纯债日开理财产品,中低风险,存续期内,在售
CYQWFQQPZ60DA,中银理财-稳富全球配置60天持有期,中低风险,存续期内,在售
CYQWFQQPZ7D1A,中银理财-稳富全球配置7天持有期1号,中低风险,存续期内,在售
CYQWFQQPZ7D03A,中银理财-稳富全球配置7天持有期3号,中低风险,存续期内,在售
CYQWFQQ90DA,中银理财-稳富全球配置90天持有期,中低风险,存续期内,在售
CYQWFSZCL90DA,中银理财-稳富双债策略3个月持有期固收理财产品,中低风险,存续期内,在售
CYQWFZQYJ14DA,中银理财-稳富固收增强优嘉14天持有期,中低风险,存续期内,在售
CYQWFZQYJ1MA,中银理财-稳富固收增强优嘉1个月持有期,中低风险,存续期内,在售
CYQWFZQYJ2MA,中银理财-稳富固收增强优嘉2个月持有期,中低风险,存续期内,在售
CYQWFZQYJ30D1A,中银理财-稳富固收增强优嘉30天持有期,中低风险,存续期内,在售
CYQWFZQYJ3MA,中银理财-稳富固收增强优嘉3个月持有期,中低风险,存续期内,在售
WFZQSJ202616,中银理财-稳富固收增强优嘉A202616,中低风险,存续期内,在售
CYQWFZQYXPZ30DA,中银理财-稳富固收增强优选配置30天持有期,中低风险,存续期内,在售
CYQWFZQYXPZ30D02A,中银理财-稳富固收增强优选配置30天持有期02,中低风险,存续期内,在售
CYQWFZQYXPZ360DA,中银理财-稳富固收增强优选配置360天持有期,中低风险,存续期内,在售
CYQWFZQYXPZ60DA,中银理财-稳富固收增强优选配置60天持有期,中低风险,存续期内,在售
CYQWFZQYXPZ90DA,中银理财-稳富固收增强优选配置90天持有期,中低风险,存续期内,在售
CYQWFZQXYJX14DA,中银理财-稳富固收增强信用精选14天持有期,中低风险,存续期内,在售
CYQWFZQXYJX30DA,中银理财-稳富固收增强信用精选30天持有期,中低风险,存续期内,在售
CYQWFZQXYJX60DA,中银理财-稳富固收增强信用精选60天持有期,中低风险,存续期内,在售
CYQWFZQXYJX1WA,中银理财-稳富固收增强信用精选7天持有期,中低风险,存续期内,在售
WFZQXYJXRKA,中银理财-稳富固收增强信用精选日开,中低风险,存续期内,在售
CYQWFZQQQDY60DA,中银理财-稳富固收增强全球多元策略60天持有期,中低风险,存续期内,在售
CYQWFZQQQPZ14DA,中银理财-稳富固收增强全球配置14天持有期,中低风险,存续期内,在售
CYQWFZQQQPZ14D2A,中银理财-稳富固收增强全球配置14天持有期2号,中低风险,存续期内,在售
CYQWFZQQQPZ14D3A,中银理财-稳富固收增强全球配置14天持有期3号,中低风险,存续期内,在售
CYQWFZQQQPZ14D04A,中银理财-稳富固收增强全球配置14天持有期4号,中低风险,存续期内,在售
CYQWFZQQQPZ30DA,中银理财-稳富固收增强全球配置30天持有期,中低风险,存续期内,在售
CYQWFZQQQPZ30D2A,中银理财-稳富固收增强全球配置30天持有期2号,中低风险,存续期内,在售
CYQWFZQQQPZ30D4A,中银理财-稳富固收增强全球配置30天持有期4号,中低风险,存续期内,在售
CYQWFZQQQPZ60DA,中银理财-稳富固收增强全球配置60天持有期,中低风险,存续期内,在售
CYQWFZQQQPZ60D2A,中银理财-稳富固收增强全球配置60天持有期2号,中低风险,存续期内,在售
CYQWFZQQQPZ7DA,中银理财-稳富固收增强全球配置7天持有期,中低风险,存续期内,在售
CYQWFZQQQPZ7D2A,中银理财-稳富固收增强全球配置7天持有期2号,中低风险,存续期内,在售
CYQWFZQQQPZ90DA,中银理财-稳富固收增强全球配置90天持有期,中低风险,存续期内,在售
CYQWFZQQQPZ90D2A,中银理财-稳富固收增强全球配置90天持有期2号,中低风险,存续期内,在售
CYQWFZQQQPZ90D3A,中银理财-稳富固收增强全球配置90天持有期3号,中低风险,存续期内,在售
CYQWFZQQQPZ90D4A,中银理财-稳富固收增强全球配置90天持有期4号,中低风险,存续期内,在售
CYQWFZQQQPZ90D5A,中银理财-稳富固收增强全球配置90天持有期5号,中低风险,存续期内,在售
WFZQQQPZRKA,中银理财-稳富固收增强全球配置日开,中低风险,存续期内,在售
CYQWFZQSZ14DA,中银理财-稳富固收增强双债策略14天持有期,中低风险,存续期内,在售
CYQWFZQSZ21DA,中银理财-稳富固收增强双债策略21天持有期,中低风险,存续期内,在售
CYQWFZQSZ30DA,中银理财-稳富固收增强双债策略30天持有期,中低风险,存续期内,在售
CYQWFZQSZ7DA,中银理财-稳富固收增强双债策略7天持有期,中低风险,存续期内,在售
CYQWFZQSZ90DA,中银理财-稳富固收增强双债策略90天持有期,中低风险,存续期内,在售
WFZQSZRKA,中银理财-稳富固收增强双债策略日开,中低风险,存续期内,在售
CYQWFZQDXCL14DA,中银理财-稳富固收增强打新策略14天持有期,中低风险,存续期内,在售
CYQWFZQDXCL7DA,中银理财-稳富固收增强打新策略7天持有期,中低风险,存续期内,在售
CYQWFZQDXCL90DA,中银理财-稳富固收增强打新策略90天持有期,中低风险,存续期内,在售
WFZQDXCLRKA,中银理财-稳富固收增强打新策略日开,中低风险,存续期内,在售
CYQWFZQZSGZ14DA,中银理财-稳富固收增强指数跟踪策略14天持有期,中低风险,存续期内,在售
CYQWFZQZSGZ14D2A,中银理财-稳富固收增强指数跟踪策略14天持有期2号,中低风险,存续期内,在售
CYQWFZQZSGZ14D3A,中银理财-稳富固收增强指数跟踪策略14天持有期3号,中低风险,存续期内,在售
CYQWFZQZSGZ21DA,中银理财-稳富固收增强指数跟踪策略21天持有期,中低风险,存续期内,在售
CYQWFZQZSGZ30DA,中银理财-稳富固收增强指数跟踪策略30天持有期,中低风险,存续期内,在售
CYQWFZQZSGZ30D2A,中银理财-稳富固收增强指数跟踪策略30天持有期2号,中低风险,存续期内,在售
CYQWFZQZSGZ60DA,中银理财-稳富固收增强指数跟踪策略60天持有期,中低风险,存续期内,在售
CYQWFZQZSGZ7DA,中银理财-稳富固收增强指数跟踪策略7天持有期,中低风险,存续期内,在售
CYQWFZQZSGZ90D01A,中银理财-稳富固收增强指数跟踪策略90天持有期,中低风险,存续期内,在售
CYQWFZQZSGZ90D3A,中银理财-稳富固收增强指数跟踪策略90天持有期3号,中低风险,存续期内,在售
WFZQZSGZRKA,中银理财-稳富固收增强指数跟踪策略日开,中低风险,存续期内,在售
CYQWFZQZSLD14DA,中银理财-稳富固收增强指数轮动策略14天持有期,中低风险,存续期内,在售
CYQWFZQZSLD30DA,中银理财-稳富固收增强指数轮动策略30天持有期,中低风险,存续期内,在售
CYQWFZQZSLD7DA,中银理财-稳富固收增强指数轮动策略7天持有期,中低风险,存续期内,在售
CYQWFZQZSLD90DA,中银理财-稳富固收增强指数轮动策略90天持有期,中低风险,存续期内,在售
CYQWFZQZSLD90D2A,中银理财-稳富固收增强指数轮动策略90天持有期2号,中低风险,存续期内,在售
CYQWFZQWJZY14DA,中银理财-稳富固收增强稳健增益14天持有期,中低风险,存续期内,在售
CYQWFZQWJZY30DA,中银理财-稳富固收增强稳健增益30天持有期,中低风险,存续期内,在售
CYQWFZQWJZY7DA,中银理财-稳富固收增强稳健增益7天持有期,中低风险,存续期内,在售
CYQWFZQHLCL14DA,中银理财-稳富固收增强红利策略14天持有期,中低风险,存续期内,在售
CYQWFZQHLCL21DA,中银理财-稳富固收增强红利策略21天持有期,中低风险,存续期内,在售
CYQWFZQHLCL30DA,中银理财-稳富固收增强红利策略30天持有期,中低风险,存续期内,在售
CYQWFZQHLCL7DA,中银理财-稳富固收增强红利策略7天持有期,中低风险,存续期内,在售
WFZQHLCLRKA,中银理财-稳富固收增强红利策略日开,中低风险,存续期内,在售
CYQWFZQHYLD14DA,中银理财-稳富固收增强行业轮动策略14天持有期,中低风险,存续期内,在售
CYQWFZQHYLD30DA,中银理财-稳富固收增强行业轮动策略30天持有期,中低风险,存续期内,在售
CYQWFZQHYLD30D2A,中银理财-稳富固收增强行业轮动策略30天持有期2号,中低风险,存续期内,在售
CYQWFZQHYLD7DA,中银理财-稳富固收增强行业轮动策略7天持有期,中低风险,存续期内,在售
CYQWFZQHYLD90DA,中银理财-稳富固收增强行业轮动策略90天持有期,中低风险,存续期内,在售
WFZQ2M001A,中银理财-稳富固收增强（2个月滚续）,中低风险,存续期内,在售
WFZQ3M001A,中银理财-稳富固收增强（3个月滚续）,中低风险,存续期内,在售
CYQWFCZ14DA,中银理财-稳富纯债14天持有期,中低风险,存续期内,在售
CYQWFCZ14D2A,中银理财-稳富纯债14天持有期2号,中低风险,存续期内,在售
CYQWFCZ7DA,中银理财-稳富纯债7天持有期,中低风险,存续期内,在售
CYQWFCZ7D2A,中银理财-稳富纯债7天持有期2号,中低风险,存续期内,在售
WFCZTZQXZX01A,中银理财-稳富纯债投资期限自选1号理财产品,中低风险,存续期内,在售
WFCZTZQXZX02A,中银理财-稳富纯债投资期限自选2号,中低风险,存续期内,在售
WFCZTZQXZX03A,中银理财-稳富纯债投资期限自选3号,中低风险,存续期内,在售
CYQWFXY30DA,中银理财-稳富鑫远固收增强30天持有期,中低风险,存续期内,在售
CYQCDZS7DA,中银理财-稳富高信用等级同业存单指数7天持有期理财产品,中低风险,存续期内,在售
CYQCDZS7DB,中银理财-稳富高信用等级同业存单指数7天持有期理财产品,中低风险,存续期内,在售
CYQWFGDJCZ14DA,中银理财-稳富高等级纯债14天持有期,中低风险,存续期内,在售
CYQWFGDJCZ200DA,中银理财-稳富高等级纯债200天持有期,中低风险,存续期内,在售
CYQWFGDJCZ30DA,中银理财-稳富高等级纯债30天持有期,中低风险,存续期内,在售
CYQWFGDJCZ60DA,中银理财-稳富高等级纯债60天持有期,中低风险,存续期内,在售
CYQWFGDJCZ7DA,中银理财-稳富高等级纯债7天持有期,中低风险,存续期内,在售
CYQWFGDJCZ7D2A,中银理财-稳富高等级纯债7天持有期2号,中低风险,存续期内,在售
CYQWFGDJCZ90D2A,中银理财-稳富高等级纯债90天持有期2号,中低风险,存续期内,在售
WFGDJCZRKA,中银理财-稳富高等级纯债日开,中低风险,存续期内,在售
WFGPJAY14DCYQA,中银理财-稳富高评级安盈14天持有期,低风险,存续期内,在售
WFGPJAY30DCYQA,中银理财-稳富高评级安盈30天持有期,低风险,存续期内,在售
WFGPJAY7DCYQA,中银理财-稳富高评级安盈7天持有期,低风险,存续期内,在售
WFGPJAYRKA,中银理财-稳富高评级安盈日开,低风险,存续期内,在售
CYQZQ14DA,中银理财-（14天）最短持有期固收理财产品,中低风险,存续期内,在售
CYQZQ14DB,中银理财-（14天）最短持有期固收理财产品,中低风险,存续期内,在售
CYQGS2W2A,中银理财-（14天）最短持有期固收理财产品2号,中低风险,存续期内,在售
CYQGS2W2B,中银理财-（14天）最短持有期固收理财产品2号,中低风险,存续期内,在售
CYQCZ14DA,中银理财-（14天）最短持有期纯债理财产品,中低风险,存续期内,在售
CYQCZ14DB,中银理财-（14天）最短持有期纯债理财产品,中低风险,存续期内,在售
CYQZQ1MA,中银理财-（1个月）最短持有期固收增强理财产品,中低风险,存续期内,在售
CYQZQ1MB,中银理财-（1个月）最短持有期固收增强理财产品,中低风险,存续期内,在售
CYQZQ1MC,中银理财-（1个月）最短持有期固收增强理财产品,中低风险,存续期内,在售
CYQ1MA,中银理财-（1个月）最短持有期纯债理财产品,中低风险,存续期内,在售
CYQ1MB,中银理财-（1个月）最短持有期纯债理财产品,中低风险,存续期内,在售
CYQGS21DA,中银理财-（21天）最短持有期固收理财产品,中低风险,存续期内,在售
CYQGS21DB,中银理财-（21天）最短持有期固收理财产品,中低风险,存续期内,在售
CYQZQ2MA,中银理财-（2个月）最短持有期固收增强理财产品,中低风险,存续期内,在售
CYQZQ2MB,中银理财-（2个月）最短持有期固收增强理财产品,中低风险,存续期内,在售
CYQ2MA,中银理财-（2个月）最短持有期纯债理财产品,中低风险,存续期内,在售
CYQ2MB,中银理财-（2个月）最短持有期纯债理财产品,中低风险,存续期内,在售
CYQZQ3MA,中银理财-（3 个月）最短持有期固收增强理财产品,中低风险,存续期内,在售
CYQZQ3MB,中银理财-（3 个月）最短持有期固收增强理财产品,中低风险,存续期内,在售
CYQ3MA,中银理财-（3个月）最短持有期纯债理财产品,中低风险,存续期内,在售
CYQ3MB,中银理财-（3个月）最短持有期纯债理财产品,中低风险,存续期内,在售
CYQGS7DA,中银理财-（7天）最短持有期固收理财产品,中低风险,存续期内,在售
CYQGS7DB,中银理财-（7天）最短持有期固收理财产品,中低风险,存续期内,在售
CYQ7DA,中银理财-（7天）最短持有期纯债理财产品,中低风险,存续期内,在售
CYQ7DB,中银理财-（7天）最短持有期纯债理财产品,中低风险,存续期内,在售
CYQGSZQ90DA,中银理财-（90天）最短持有期固收增强理财产品,中低风险,存续期内,在售
CYQGSZQ90DB,中银理财-（90天）最短持有期固收增强理财产品,中低风险,存续期内,在售
WXZZK04,中银理财“稳享”（周周开）04,中低风险,存续期内,在售
WXZZK07,中银理财“稳享”（周周开）07,中低风险,存续期内,在售
2301249186,九月鑫最短持有期12号,中低风险,存续期内,在售
2501250721,九月鑫最短持有期31号A,中低风险,存续期内,在售
2501240155,九月鑫最短持有期5号B,中低风险,存续期内,在售
5811224146,交银理财稳享灵动慧利日开10号（7天持有期）理财产品,中低风险,存续期内,在售
5811225078,交银理财稳享灵动慧利日开12号（14天持有期）理财产品,中低风险,存续期内,在售
5811224190,交银理财稳享灵动慧利日开12号（30天持有期）理财产品E,中低风险,存续期内,在售
5811224237,交银理财稳享灵动慧利日开14号（7天持有期）理财产品,中低风险,存续期内,在售
5811225044,交银理财稳享灵动慧利日开15号（7天持有期）理财产品B,中低风险,存续期内,在售
5811224072,交银理财稳享灵动慧利日开15号（90天持有期）理财产品,中低风险,存续期内,在售
5811224261,交银理财稳享灵动慧利日开16号（30天持有期）理财产品,中低风险,存续期内,在售
5811225077,交银理财稳享灵动慧利日开17号（30天持有期）理财产品,中低风险,存续期内,在售
5811225064,交银理财稳享灵动慧利日开17号（7天持有期）理财产品,中低风险,存续期内,在售
5811225076,交银理财稳享灵动慧利日开20号（7天持有期）理财产品B,中低风险,存续期内,在售
5811225074,交银理财稳享灵动慧利日开21号（7天持有期）理财产品B,中低风险,存续期内,在售
5811225404,交银理财稳享灵动慧利日开22号（14天持有期）理财产品,中低风险,存续期内,在售
5811224239,交银理财稳享灵动慧利日开23号（90天持有期）理财产品,中低风险,存续期内,在售
5811225265,交银理财稳享灵动慧利日开26号（7天持有期）理财产品,中低风险,存续期内,在售
5811225266,交银理财稳享灵动慧利日开27号（7天持有期）理财产品,中低风险,存续期内,在售
5811225217,交银理财稳享灵动慧利日开29号（7天持有期）理财产品,中低风险,存续期内,在售
5811225431,交银理财稳享灵动慧利日开36号（30天持有期）理财产品,中低风险,存续期内,在售
